n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,50,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,51,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,52,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,53,1,standard,0.3,1.0,0.05,5000,1.0,1.0,13
2,54,1,standard,0.3,1.0,0.05,5000,1.0,1.0,12
2,55,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,56,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,57,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,58,1,standard,0.3,1.0,0.05,5000,1.0,1.0,10
2,59,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,60,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,61,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,62,1,standard,0.3,1.0,0.05,5000,1.0,1.0,14
2,63,1,standard,0.3,1.0,0.05,5000,1.0,1.0,22
2,64,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,65,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,66,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,67,1,standard,0.3,1.0,0.05,5000,1.0,1.0,13
2,68,1,standard,0.3,1.0,0.05,5000,1.0,1.0,12
2,69,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,70,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,71,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,72,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,73,1,standard,0.3,1.0,0.05,5000,1.0,1.0,1
2,74,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,75,1,standard,0.3,1.0,0.05,5000,1.0,1.0,12
2,76,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,77,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,78,1,standard,0.3,1.0,0.05,5000,1.0,1.0,3
2,79,1,standard,0.3,1.0,0.05,5000,1.0,1.0,13
